congress,chamber,rollnumber,icpsr,cast_code,prob
85,Senate,2,1329,6,87.49399980952526
85,Senate,2,1341,1,82.13167033993776
85,Senate,2,1365,1,98.58730261358741
85,Senate,2,1489,1,81.65986030463795
85,Senate,2,1510,1,63.74872693020236
85,Senate,2,1540,6,97.58426752775533
85,Senate,2,1569,6,99.68098529300633
85,Senate,2,1570,1,85.954850410056
85,Senate,2,1678,6,39.601497215194925
85,Senate,2,1721,6,72.20511188600064
85,Senate,2,1776,6,99.52846464339692
85,Senate,2,2052,6,75.8858642275845
85,Senate,2,2087,1,77.37458981994946
85,Senate,2,2267,1,96.43126979764348
85,Senate,2,2326,1,97.9581293308218
85,Senate,2,2609,1,51.29737880744647
85,Senate,2,2691,6,99.97961410744132
85,Senate,2,2803,1,95.4088832598646
85,Senate,2,2822,1,99.44996940751145
85,Senate,2,2901,1,98.25028872784908
85,Senate,2,2987,1,98.9227294705991
85,Senate,2,3206,6,88.73873541358165
85,Senate,2,3349,1,92.22156614776134
85,Senate,2,3388,1,79.76802684438337
85,Senate,2,3658,1,93.66326334462872
85,Senate,2,3704,1,57.51216420508496
85,Senate,2,3783,1,10.20082474687911
85,Senate,2,4227,1,52.54221272738923
85,Senate,2,4328,6,91.11613021532878
85,Senate,2,4382,1,75.09450732547734
85,Senate,2,4418,1,86.73824896819167
85,Senate,2,4520,1,94.69008149303866
85,Senate,2,4660,1,93.73273850398492
85,Senate,2,4728,6,94.63084871453604
85,Senate,2,4834,6,98.57584389947647
85,Senate,2,4851,6,81.3076666118598
85,Senate,2,4922,1,97.66358098300086
85,Senate,2,4979,1,67.72132143088727
85,Senate,2,5009,1,96.31065516775116
85,Senate,2,5122,6,72.27187561939627
85,Senate,2,5180,6,95.59652520486115
85,Senate,2,5213,1,85.4062306060532
85,Senate,2,5343,1,42.159041656929546
85,Senate,2,5372,6,86.28563347253278
85,Senate,2,5452,1,89.92265445491799
85,Senate,2,5500,6,42.75916157877289
85,Senate,2,5767,1,93.25554762337333
85,Senate,2,5913,6,76.01027481620615
85,Senate,2,5944,1,98.78965898069012
85,Senate,2,5967,6,68.68136072259257
85,Senate,2,6021,1,68.24566239315136
85,Senate,2,6039,6,21.128069426819806
85,Senate,2,6137,1,88.38301591232897
85,Senate,2,6151,1,99.26861657763185
85,Senate,2,6366,6,98.0134586508498
85,Senate,2,6597,1,48.611370474570485
85,Senate,2,6738,6,90.38673139947441
85,Senate,2,6745,6,56.7334090625367
85,Senate,2,6796,1,86.02714603451459
85,Senate,2,6820,6,74.31466497845726
85,Senate,2,6856,4,67.53746502573077
85,Senate,2,6882,6,99.66917697211595
85,Senate,2,7070,6,58.778422952562615
85,Senate,2,7229,6,89.8492781652914
85,Senate,2,7271,6,80.87553934187801
85,Senate,2,7551,6,53.01933962437702
85,Senate,2,7656,6,89.63332162243907
85,Senate,2,7826,1,90.61663775583966
85,Senate,2,7958,1,98.70738183213373
85,Senate,2,8138,1,99.32960597348952
85,Senate,2,8185,1,27.185006805573263
85,Senate,2,8270,1,93.33556766568081
85,Senate,2,8313,1,75.48381240577311
85,Senate,2,8593,1,90.09118039670302
85,Senate,2,8635,6,92.87793946927113
85,Senate,2,8666,6,69.40966515012984
85,Senate,2,8764,1,89.05397379412874
85,Senate,2,8883,1,98.74288031082517
85,Senate,2,9141,6,69.12424014407141
85,Senate,2,9174,1,98.21662111722385
85,Senate,2,9374,6,61.94242589115766
85,Senate,2,9865,1,75.64536414444103
85,Senate,2,10110,4,61.43887035339699
85,Senate,2,10163,1,86.2477370977683
85,Senate,2,10450,1,88.95012639521363
85,Senate,2,99369,1,99.95233587661374
85,Senate,2,99901,9,16.670663508454815
85,Senate,3,52,1,65.6678896019152
85,Senate,3,142,6,14.263407331406409
85,Senate,3,165,7,98.45869283912798
85,Senate,3,464,6,46.9739218132735
85,Senate,3,546,1,84.99164383464222
85,Senate,3,645,1,85.84529502945215
85,Senate,3,688,6,99.81897556057655
85,Senate,3,777,6,99.72690998391491
85,Senate,3,1024,1,84.36820063166334
85,Senate,3,1027,3,90.04711141266037
85,Senate,3,1329,1,98.95663989149884
85,Senate,3,1341,7,72.37739896533188
85,Senate,3,1365,6,96.6962276350048
85,Senate,3,1489,7,73.3881096516793
85,Senate,3,1510,6,36.8498335038882
85,Senate,3,1540,6,98.57270159374207
85,Senate,3,1569,1,93.22675455377785
85,Senate,3,1570,6,64.87300453044982
85,Senate,3,1678,4,99.54850708490126
85,Senate,3,1721,6,99.77168566202293
85,Senate,3,1776,6,94.61415067157198
85,Senate,3,2052,1,63.654927697075095
85,Senate,3,2087,1,82.31526077989498
85,Senate,3,2267,6,36.05384005997456
85,Senate,3,2609,1,89.04698128492086
85,Senate,3,2691,6,63.787463025988075
85,Senate,3,2803,1,49.930999027358766
85,Senate,3,2822,6,99.9324477833897
85,Senate,3,2901,6,99.97849191998989
85,Senate,3,2987,6,99.96543675820574
85,Senate,3,3206,1,95.41568931505772
85,Senate,3,3349,7,98.31440685131355
85,Senate,3,3388,6,99.9972668296819
85,Senate,3,3658,1,89.92361758145047
85,Senate,3,3704,6,99.94364520441586
85,Senate,3,3783,6,97.13903138982697
85,Senate,3,4227,6,99.40206601983574
85,Senate,3,4328,6,97.13657160471647
85,Senate,3,4382,1,80.85334795696669
85,Senate,3,4418,6,99.98931776079925
85,Senate,3,4520,6,99.33608986575008
85,Senate,3,4660,7,65.44138302510686
85,Senate,3,4728,4,96.80416727608039
85,Senate,3,4834,3,97.27529699131722
85,Senate,3,4851,6,97.85504216532688
85,Senate,3,4898,1,92.51805118068532
