congress,chamber,rollnumber,icpsr,cast_code,prob
84,Senate,3,5240,1,57.49480323129479
84,Senate,3,5343,6,99.00163658625779
84,Senate,3,5372,6,97.94315774065964
84,Senate,3,5452,6,94.93029117594479
84,Senate,3,5591,1,79.16957163429562
84,Senate,3,5767,1,21.465201284505962
84,Senate,3,5913,1,33.609252794641705
84,Senate,3,5944,6,98.9642793850173
84,Senate,3,5967,6,45.249334895161375
84,Senate,3,6021,6,99.52893715237721
84,Senate,3,6039,6,99.26380243072349
84,Senate,3,6137,4,99.14456289189404
84,Senate,3,6151,6,92.08996927384399
84,Senate,3,6366,1,70.34640151782774
84,Senate,3,6525,6,99.11910201053368
84,Senate,3,6597,6,73.40964803815324
84,Senate,3,6738,1,95.60100581031688
84,Senate,3,6796,6,99.1100759790335
84,Senate,3,6820,6,47.183337941638726
84,Senate,3,6856,4,61.82139305369449
84,Senate,3,6882,1,63.43662749541765
84,Senate,3,7070,6,77.95451073863421
84,Senate,3,7229,6,78.43649437760172
84,Senate,3,7271,6,97.88652250918254
84,Senate,3,7551,4,99.10274200386158
84,Senate,3,7656,6,98.69910576629867
84,Senate,3,7958,6,95.30305098304414
84,Senate,3,8138,6,91.29077730242588
84,Senate,3,8185,6,98.68809517441622
84,Senate,3,8270,6,99.39107202551669
84,Senate,3,8313,6,71.37310472228833
84,Senate,3,8593,6,83.6679214237551
84,Senate,3,8635,6,98.48118661510206
84,Senate,3,8666,6,97.92759524984712
84,Senate,3,8764,6,76.65270861633775
84,Senate,3,8883,6,87.91817596091818
84,Senate,3,9141,6,66.58305638027976
84,Senate,3,9374,6,98.20895153977538
84,Senate,3,9865,6,99.29852002983681
84,Senate,3,9930,6,99.40928623142734
84,Senate,3,10110,6,98.63252252839655
84,Senate,3,10163,6,99.58084142714667
84,Senate,3,10450,6,98.28514495360993
84,Senate,3,99369,6,97.86301388597963
84,Senate,3,99901,6,99.14229625836543
84,Senate,4,52,6,94.63781315779548
84,Senate,4,142,6,97.62589793373071
84,Senate,4,165,6,75.78577021300394
84,Senate,4,437,6,58.02765729920629
